,
Flybase,H2 
---,0.94638
---,0.91489
---,0.48639
---,0.5232
FBgn0026178,0.8433
FBgn0026178,0.88866
FBgn0043043,0.83868
FBgn0051862,0.71623
FBgn0052475,0.91446
FBgn0052475,0.87279
FBgn0003250,0.8033
FBgn0019940,0.791
FBgn0035852,0.4608
FBgn0038355,0.4564
FBgn0051347,0.44121
FBgn0069913,0.4535
FBgn0052445,0.44007
FBgn0046332,0.46236
FBgn0035455,0.42952
FBgn0032971,0.50371
FBgn0051546,0.44116
FBgn0035034,0.45709
FBgn0032624,0.34707
FBgn0020371,0.40643
FBgn0051294,0.50137
FBgn0053189,0.40593
FBgn0050350,0.49671
FBgn0031423,0.36744
FBgn0039077,0.40191
FBgn0030780,0.3784
FBgn0034850,0.38062
FBgn0028379,0.39128
FBgn0036403,0.46389
FBgn0031240,0.45683
FBgn0011743,0.39735
FBgn0039070,0.40558
FBgn0051679,0.52614
FBgn0032650,0.43006
FBgn0038109,0.51985
FBgn0037500,0.37034
FBgn0032003,0.41766
FBgn0032769,0.48491
FBgn0037101,0.55042
FBgn0025821,0.37183
FBgn0036905,0.43478
FBgn0036016,0.45636
FBgn0031920,0.53634
FBgn0033074,0.46416
FBgn0034461,0.37242
FBgn0034846,0.4974
FBgn0038000,0.42542
FBgn0052161,0.42463
FBgn0031235,0.46472
FBgn0039707,0.3803
FBgn0051907,0.40256
FBgn0051231,0.49183
FBgn0028856,0.43159
FBgn0032291,0.46143
FBgn0039083,0.38001
FBgn0036785,0.47009
FBgn0039368,0.46432
FBgn0031849,0.36852
FBgn0030624,0.43887
FBgn0037985,0.44026
FBgn0028531,0.43348
FBgn0032969,0.4474
FBgn0032276,0.49145
FBgn0037915,0.48492
FBgn0029702,0.39516
FBgn0051528,0.41917
FBgn0038163,0.52087
FBgn0033893,0.43333
FBgn0033542,0.39546
FBgn0028903,0.49588
FBgn0052945,0.37382
FBgn0053322,0.57949
FBgn0051806,0.3927
FBgn0031826,0.45967
FBgn0051804,0.44933
FBgn0051787,0.50936
FBgn0031784,0.44348
FBgn0032664,0.44248
FBgn0035724,0.38749
FBgn0031591,0.48595
FBgn0036029,0.4347
FBgn0051415,0.46744
FBgn0032314,0.46551
FBgn0050393,0.38736
FBgn0031724,0.52549
FBgn0039797,0.52472
FBgn0020371,0.36491
FBgn0036884,0.38203
FBgn0030936,0.49908
FBgn0038248,0.43159
FBgn0017456,0.35646
FBgn0038909,0.39879
FBgn0043025,0.43715
FBgn0038123,0.41625
FBgn0052847,0.36927
FBgn0033860,0.56945
FBgn0032478,0.48566
FBgn0033243,0.39158
FBgn0036729,0.39188
FBgn0031335,0.38638
FBgn0052396,0.51142
FBgn0050462,0.54349
FBgn0037460,0.37272
FBgn0036498,0.38597
FBgn0038892,0.44757
FBgn0053308,0.36289
FBgn0036931,0.50553
FBgn0029661,0.4821
FBgn0028893,0.52608
FBgn0052392,0.46463
FBgn0036895,0.47853
FBgn0028913,0.37676
FBgn0036962,0.493
FBgn0033687,0.45558
FBgn0038281,0.43586
FBgn0039792,0.38788
FBgn0039796,0.55171
FBgn0003132,0.4217
FBgn0053309,0.50165
FBgn0030313,0.36182
FBgn0028892,0.41844
FBgn0039463,0.39842
---,0.36055
FBgn0037506,0.40206
FBgn0038280,0.39802
FBgn0033513,0.42787
FBgn0051141,0.43287
FBgn0035124,0.41225
FBgn0034505,0.40359
FBgn0037454,0.54371
FBgn0050376,0.39949
FBgn0037579,0.36287
FBgn0039088,0.37923
FBgn0034416,0.38443
FBgn0031410,0.38478
FBgn0033330,0.41686
FBgn0032577,0.47808
FBgn0036704,0.44588
FBgn0035952,0.41758
FBgn0029951,0.50718
FBgn0029877,0.42825
FBgn0040773,0.42409
FBgn0042133,0.42344
FBgn0030780,0.48217
FBgn0028847,0.4073
FBgn0029539,0.37346
FBgn0036437,0.35435
FBgn0037388,0.41351
FBgn0050192,0.38691
FBgn0053937,0.39607
FBgn0040508,0.54906
FBgn0037938,0.49771
FBgn0052119,0.51728
FBgn0052313,0.41917
